OMGHAI!
-------- day 0 --------
name, sellIn, quality
+5 Dexterity Vest, 10, 20
Aged Brie, 10, 0
Elixir of the Mongoose, 5, 7
Sulfuras, 30, 80
Sulfuras, -1, 80
Backstage passes, 25, 1
Backstage passes, 10, 49
Backstage passes, 5, 49
Conjured, 5, 10

-------- day 1 --------
name, sellIn, quality
+5 Dexterity Vest, 9, 19
Aged Brie, 9, 1
Elixir of the Mongoose, 4, 6
Sulfuras, 29, 80
Sulfuras, -2, 80
Backstage passes, 24, 2
Backstage passes, 9, 50
Backstage passes, 4, 50
Conjured, 4, 8

-------- day 2 --------
name, sellIn, quality
+5 Dexterity Vest, 8, 18
Aged Brie, 8, 2
Elixir of the Mongoose, 3, 5
Sulfuras, 28, 80
Sulfuras, -3, 80
Backstage passes, 23, 3
Backstage passes, 8, 50
Backstage passes, 3, 50
Conjured, 3, 6

-------- day 3 --------
name, sellIn, quality
+5 Dexterity Vest, 7, 17
Aged Brie, 7, 3
Elixir of the Mongoose, 2, 4
Sulfuras, 27, 80
Sulfuras, -4, 80
Backstage passes, 22, 4
Backstage passes, 7, 50
Backstage passes, 2, 50
Conjured, 2, 4

-------- day 4 --------
name, sellIn, quality
+5 Dexterity Vest, 6, 16
Aged Brie, 6, 4
Elixir of the Mongoose, 1, 3
Sulfuras, 26, 80
Sulfuras, -5, 80
Backstage passes, 21, 5
Backstage passes, 6, 50
Backstage passes, 1, 50
Conjured, 1, 2

-------- day 5 --------
name, sellIn, quality
+5 Dexterity Vest, 5, 15
Aged Brie, 5, 5
Elixir of the Mongoose, 0, 2
Sulfuras, 25, 80
Sulfuras, -6, 80
Backstage passes, 20, 6
Backstage passes, 5, 50
Backstage passes, 0, 50
Conjured, 0, 0

-------- day 6 --------
name, sellIn, quality
+5 Dexterity Vest, 4, 14
Aged Brie, 4, 6
Elixir of the Mongoose, -1, 0
Sulfuras, 24, 80
Sulfuras, -7, 80
Backstage passes, 19, 7
Backstage passes, 4, 50
Backstage passes, -1, 0
Conjured, -1, 0

-------- day 7 --------
name, sellIn, quality
+5 Dexterity Vest, 3, 13
Aged Brie, 3, 7
Elixir of the Mongoose, -2, 0
Sulfuras, 23, 80
Sulfuras, -8, 80
Backstage passes, 18, 8
Backstage passes, 3, 50
Backstage passes, -2, 0
Conjured, -2, 0

-------- day 8 --------
name, sellIn, quality
+5 Dexterity Vest, 2, 12
Aged Brie, 2, 8
Elixir of the Mongoose, -3, 0
Sulfuras, 22, 80
Sulfuras, -9, 80
Backstage passes, 17, 9
Backstage passes, 2, 50
